1-UCA01,Outdoor sitting                 ,Non UFA                                      
G159,Lockers                         ,Chief Operating Officer & Senior VP     
G159A,Safe Rm,Chief Operating Officer & Senior VP     
G159B,Staff Rm,Chief Operating Officer & Senior VP     
G159C,Leaders Office,Chief Operating Officer & Senior VP     
G159D,Hot Desk,Chief Operating Officer & Senior VP     
G16,Roll'd,Food & Beverage                              
G160,Consulting rm,Chief Operating Officer & Senior VP     
G161,Career Connect,Campus Community Division               
G161A,Office - Consult,Campus Community Division               
G162,Office - Consult,Campus Community Division               
G163,Service Counter,Chief Operating Officer & Senior VP     
G163A,Service Counter,Chief Operating Officer & Senior VP     
G163B,Service Counter,Chief Operating Officer & Senior VP     
G163C,Service Counter,Chief Operating Officer & Senior VP     
G164,Consult Room                    ,Campus Community Division               
G165,Equip Room                      ,Campus Community Division               
G166,Consult Room - Dental,Campus Community Division               
G167,Consult Room - Dental,Campus Community Division               
G168,Office                          ,Campus Community Division               
G169,Store                           ,Campus Community Division               
G170,ATM Booth,Monash University                       
G171,P O Box,Monash University                       
G18,Comms Existing,Non UFA                                      
G19,Comms rm                        ,Non UFA                                      
G20,All-gender/Accessible Toilet,Non UFA                                      
G21,Female Toilet                   ,Non UFA                                      
G23,Parenting Room,Monash University                       
G23A,Feeding room,Monash University                       
G23B,Feeding room,Monash University                       
G24,Male Toilet                     ,Non UFA                                      
G25,Subway,Food & Beverage                              
G26,Optus phone shop,Retail                                       
G27,STA Travel,Retail                                       
G28,Grafali,Food & Beverage                              
G29,Sushi Sushi,Food & Beverage                              
G30,Noodle Noodle,Food & Beverage                              
G31A,Airlock                         ,Non UFA                                      
G32,Airlock                         ,Non UFA                                      
G34,Office,Retail                                       
G35,Store,Retail                                       
G36,MU Convenient Store,Retail                                       
G36A,Office,Retail                                       
G37,Hair Dresser,Retail                                       
G38,Artichoke and Whitebait,Food & Beverage                              
G39,Main Kitchen/ Servery,Food & Beverage                              
G39A,Corridor,Non UFA                                      
G40,Cool Room,Food & Beverage                              
G41,Store,Food & Beverage                              
G42,Cool Room,Food & Beverage                              
G42A,Cool Room,Food & Beverage                              
G45,Service Riser                   ,Non UFA                                      
G46,Passage,Non UFA                                      
G47,Store,Food & Beverage                              
G48,Store,Food & Beverage                              
G49,Peri Peri,Food & Beverage                              
G50,Meeting Point Cafe,Food & Beverage                              
G50A,Seating Area                    ,Monash University                       
G51,Kitchen,Food & Beverage                              
G51A,Store,Food & Beverage                              
G52,Store/Coolroom,Food & Beverage                              
G53,Office,Food & Beverage                              
G54,Cleaner                         ,Non UFA                                      
G55,Boost Juice,Food & Beverage                              
G56,Student Kitchen                 ,Monash University                       
G57,Super Natural,Food & Beverage                              
G58,Servery                         ,Monash University                       
G59,Store                           ,Food & Beverage                              
G60,Student Lounge,Monash University                       
G60A,Store                           ,Monash University                       
G60B,Store                           ,Monash University                       
G61,The Den,Food & Beverage                              
G62,Toilet,Non UFA                                      
G63,Store,Retail                                       
G64,Store                           ,Food & Beverage                              
G65,Optometrist,Retail                                       
G65A,Store                           ,Buildings & Property Division           
G65B,Store                           ,Buildings & Property Division           
G66,Waiting,Campus Community Division               
G66A,Waiting                         ,Campus Community Division               
G67,Consultant                      ,Campus Community Division               
G68,Consultant                      ,Campus Community Division               
G69,TELSTRA Room,Tenant                                       
G70,Consultant                      ,Campus Community Division               
G71,Waiting                         ,Campus Community Division               
G73,Consultant Rm                   ,Campus Community Division               
G74,Accessible Toilet               ,Non UFA                                      
G75,Print Room,Campus Community Division               
G77,Practice manager                ,Campus Community Division               
G77B,Store Room                      ,Campus Community Division               
G77C,Toilet                          ,Non UFA                                      
G78,Reception,Campus Community Division               
G81,Staff room                      ,Campus Community Division               
G82,Consult Room                    ,Campus Community Division               
G83,Consult Room                    ,Campus Community Division               
G84,Consult Room                    ,Campus Community Division               
G85,Consult Room                    ,Campus Community Division               
G86,Consult Room                    ,Campus Community Division               
G87,Male Toilet                     ,Non UFA                                      
G88,Female Toilet                   ,Non UFA                                      
G89,Holding                         ,Campus Community Division               
G90,Holding                         ,Campus Community Division               
G91,Holding                         ,Campus Community Division               
